Category Description,Subcategory Code,Subcategory Description,Status
ADDITIVES,ADD-CUB,ADD-CUBES,ACTIVE
ADDITIVES,ADD-FLP,ADD-FLAVORING PASTE,ACTIVE
ADDITIVES,ADD-LIE,ADD-LIQUID EXTRACT,ACTIVE
ADDITIVES,ADD-LIF,ADD-LIQUID FLAVORING,ACTIVE
ADDITIVES,ADD-LFC,ADD-LIQUID FOOD COLORING,ACTIVE
ADDITIVES,ADD-PST,ADD-PASTE,ACTIVE
ADDITIVES,ADD-PWD,ADD-POWDER,ACTIVE
ADDITIVES,ADD-STB,ADD-STABILIZER,ACTIVE
ADDITIVES,ADD-SGR,ADD-SUGAR,ACTIVE
ADDITIVES,ADD-SYR,ADD-SYRUP,ACTIVE
ALCOHOLIC DRINKS,ALD-BEE,ALD-BEER,ACTIVE
ALCOHOLIC DRINKS,ALD-BRN,ALD-BRANDY,ACTIVE
ALCOHOLIC DRINKS,ALD-CHM,ALD-CHAMPAGNE,ACTIVE
ALCOHOLIC DRINKS,ALD-GIN,ALD-GIN,ACTIVE
ALCOHOLIC DRINKS,ALD-LAM,ALD-LAMBANOG,ACTIVE
ALCOHOLIC DRINKS,ALD-RUM,ALD-RHUM,ACTIVE
ALCOHOLIC DRINKS,ALD-SKE,ALD-SAKE,ACTIVE
ALCOHOLIC DRINKS,ALD-SHO,ALD-SHOCHU,ACTIVE
ALCOHOLIC DRINKS,ALD-SOJ,ALD-SOJU,ACTIVE
ALCOHOLIC DRINKS,ALD-TEQ,ALD-TEQUILA,ACTIVE
ALCOHOLIC DRINKS,ALD-VDK,ALD-VODKA,ACTIVE
ALCOHOLIC DRINKS,ALD-WHI,ALD-WHISKY,ACTIVE
ALCOHOLIC DRINKS,ALD-WNE,ALD-WINE,ACTIVE
BAR SUPPLIES,BAR-CKS,BAR-COCKTAIL STRAINER,ACTIVE
BAR SUPPLIES,BAR-KNB,BAR-KNOCK BOX,ACTIVE
BAR SUPPLIES,BAR-TMP,BAR-TAMPER,ACTIVE
BEEF,BEF-ASP,BEF-ASSORTED PARTS,ACTIVE
BEEF,BEF-BSK,BEF-BRISKET,ACTIVE
BEEF,BEF-BRB,BEF-BRISKET BONE,ACTIVE
BEEF,BEF-CHU,BEF-CHUCK EYE ROLL,ACTIVE
BEEF,BEF-COB,BEF-CORNED BEEF,ACTIVE
BEEF,BEF-FAT,BEF-FAT,ACTIVE
BEEF,BEF-FLK,BEF-FLANK,ACTIVE
