Segmentation Column Name,Segmentation Column Code,Segmentation Column Description,Status
segment_bbd,BBD,BAD BIRD,ACTIVE
segment_cbl,CBL,CUBA LIBRE,ACTIVE
segment_com,COM,COMMISSARY,ACTIVE
segment_eyb,EYB,EAT YOURSELF BANKRUPT,ACTIVE
segment_fwb,FWB,FOWL BREAD,ACTIVE
segment_hmk,HNM,HANAMARUKEN,ACTIVE
segment_htw,HTW,HOLE IN THE WALL,ACTIVE
segment_lps,LPS,LE PETIT SOUFFLE,ACTIVE
segment_ppr,PPR,POSPORO,ACTIVE
segment_psn,PSN,POISON,ACTIVE
segment_pze,PZE,PIZZA EXPRESS,ACTIVE
segment_sdh,SCH,SCOUT'S HONOR,ACTIVE
segment_tgd,TGD,THE GRID,ACTIVE
segment_wks,WKS,WORKSHOP,ACTIVE
segment_wmn,WMN,WRONG RAMEN,ACTIVE
segment_1,TXL,FLOWER BOY,ACTIVE
segment_2,TSU,TSUKE-MEN,ACTIVE
segment_5,RMB,RAMEN BAR,ACTIVE
segment_6,BAB,BABU,ACTIVE
segment_7,GCG,GOCHUGANG,ACTIVE
segment_8,BFR,BEEFIER,ACTIVE
segment_9,CHP,CHAMPION HOTPOT,ACTIVE
segment_10,HYD,HYDRA OFFICE,ACTIVE
segment_11,YLC,YOUR LOCAL,ACTIVE
segment_12,SYK,SAMYAN KITCHEN,ACTIVE
segment_13,GAT,GATSUMAN,ACTIVE
segment_14,GRN,GRAINIVORE,ACTIVE
segment_15,PRC,PRACTICAL COFFEE,ACTIVE
